Name,Province,ID,Lat,Lon,Elevation
CHURCHILL CLIMATE,MB,5060608,58.73,-94.07,28
GILLAM,MB,5060999,56.37,-94.7,145
ISLAND LAKE A,MB,5061376,53.85,-94.65,235
LYNN LAKE A,MB,5061646,56.87,-101.08,356
THOMPSON A,MB,5062921,55.8,-97.87,224
NORWAY HOUSE FORESTRY,MB,506B0M7,54.0,-97.8,217
BEECHWOOD,NB,8100512,46.53,-67.67,91
BELLEDUNE,NB,8100514,47.9,-65.83,7
BOUCTOUCHE CDA CS,NB,8100593,46.43,-64.77,35
CHARLO AUTO,NB,8100885,47.98,-66.33,42
MIRAMICHI RCS,NB,8100989,47.02,-65.47,33
EDMUNDSTON,NB,8101303,47.42,-68.32,154
FREDERICTON A,NB,8101500,45.87,-66.53,20
FREDERICTON CDA CS,NB,8101605,45.92,-66.62,35
MONCTON INTL A,NB,8103201,46.12,-64.68,70
ROYAL ROAD,NB,8104480,46.05,-66.72,115
ROYAL ROAD WEST,NB,8104482,46.08,-66.73,160
SAINT JOHN,NB,8104800,45.28,-66.08,30
SAINT JOHN A,NB,8104900,45.32,-65.88,108
ST LEONARD A,NB,8104928,47.17,-67.83,242
SUMMIT DEPOT,NB,8105100,47.78,-68.33,411
ARGENTIA (AUT),NL,8400104,47.28,-53.98,19
BURGEO NL,NL,8400801,47.62,-57.62,10
COMFORT COVE,NL,8401259,49.27,-54.88,99
DANIELS HARBOUR,NL,8401400,50.23,-57.58,19
DEER LAKE A,NL,8401501,49.22,-57.4,21
GANDER AIRPORT CS,NL,8401705,48.95,-54.57,151
LA SCIE,NL,8402520,49.92,-55.67,194
PORT AUX BASQUES,NL,8402975,47.57,-59.15,39
ST ALBANS,NL,8403290,47.87,-55.85,13
ST ANTHONY,NL,8403401,51.37,-55.6,11
ST JOHN'S A,NL,8403506,47.62,-52.73,140
ST LAWRENCE,NL,8403619,46.92,-55.38,48
STEPHENVILLE RCS,NL,8403820,48.57,-58.57,58
TWILLINGATE (AUT),NL,8404025,49.68,-54.8,92
BATTLE HARBOUR LOR,NL,8500398,52.25,-55.6,9
